time	V(out)
Step Information: Index=5  (Run: 5/5)
0.000000000000000e+000	-2.034343e-002
1.000000000000566e-007	-2.028327e-002
2.999999999999531e-007	-2.005220e-002
5.999999999999062e-007	-1.939055e-002
9.999999999999159e-007	-1.812247e-002
1.599999999999822e-006	-1.563558e-002
2.239999999999924e-006	-1.318107e-002
3.239999999999840e-006	-9.646898e-003
4.239999999999756e-006	-6.453611e-003
5.239999999999672e-006	-3.600331e-003
6.239999999999588e-006	-1.050852e-003
7.239999999999504e-006	1.227170e-003
8.239999999999420e-006	3.262640e-003
9.239999999999336e-006	5.081383e-003
1.023999999999925e-005	6.706475e-003
1.123999999999917e-005	8.158537e-003
1.223999999999908e-005	9.455989e-003
1.323999999999900e-005	1.061530e-002
1.423999999999892e-005	1.165116e-002
1.523999999999883e-005	1.257674e-002
1.623999999999875e-005	1.340376e-002
1.723999999999866e-005	1.414273e-002
1.823999999999858e-005	1.480302e-002
1.923999999999849e-005	1.539300e-002
2.023999999999841e-005	1.592016e-002
2.123999999999833e-005	1.639120e-002
2.223999999999824e-005	1.681207e-002
2.323999999999816e-005	1.718814e-002
2.423999999999807e-005	1.752417e-002
2.523999999999799e-005	1.782442e-002
2.623999999999791e-005	1.809269e-002
2.723999999999782e-005	1.833241e-002
2.823999999999774e-005	1.854660e-002
2.923999999999765e-005	1.873798e-002
3.023999999999757e-005	1.890898e-002
3.123999999999749e-005	1.906178e-002
3.223999999999740e-005	1.919831e-002
3.323999999999732e-005	1.932031e-002
3.423999999999723e-005	1.942931e-002
3.523999999999715e-005	1.952671e-002
3.623999999999706e-005	1.961373e-002
3.723999999999698e-005	1.969149e-002
3.823999999999690e-005	1.976097e-002
3.923999999999681e-005	1.982306e-002
4.023999999999673e-005	1.987853e-002
4.123999999999664e-005	1.992810e-002
4.223999999999656e-005	1.997238e-002
4.323999999999648e-005	2.001196e-002
4.423999999999639e-005	2.004732e-002
4.523999999999631e-005	2.007891e-002
4.623999999999622e-005	2.010714e-002
4.723999999999614e-005	2.013237e-002
4.823999999999606e-005	2.015491e-002
4.923999999999597e-005	2.017505e-002
5.023999999999589e-005	2.019304e-002
5.123999999999580e-005	2.020912e-002
5.323999999999564e-005	2.023632e-002
5.523999999999547e-005	2.025804e-002
5.723999999999530e-005	2.027538e-002
5.923999999999513e-005	2.028923e-002
6.223999999999488e-005	2.030494e-002
6.523999999999463e-005	2.031615e-002
6.823999999999437e-005	2.032415e-002
7.223999999999404e-005	2.033136e-002
7.823999999999353e-005	2.033759e-002
8.723999999999278e-005	2.034171e-002
1.010000000000000e-004	2.034355e-002
1.011000000000000e-004	2.028339e-002
1.012999999999999e-004	2.005232e-002
1.015999999999999e-004	1.939066e-002
1.020000000000001e-004	1.812258e-002
1.026000000000000e-004	1.563568e-002
1.032400000000001e-004	1.318117e-002
1.042400000000000e-004	9.646986e-003
1.052399999999999e-004	6.453690e-003
1.062399999999999e-004	3.600400e-003
1.072399999999998e-004	1.050915e-003
1.082399999999997e-004	-1.227114e-003
1.092399999999996e-004	-3.262590e-003
1.102399999999995e-004	-5.081338e-003
1.112399999999994e-004	-6.706436e-003
1.122399999999994e-004	-8.158501e-003
1.132399999999993e-004	-9.455957e-003
1.142399999999992e-004	-1.061527e-002
1.152399999999991e-004	-1.165114e-002
1.162399999999990e-004	-1.257672e-002
1.172399999999989e-004	-1.340374e-002
1.182399999999988e-004	-1.414271e-002
1.192399999999988e-004	-1.480300e-002
1.202399999999987e-004	-1.539298e-002
1.212399999999986e-004	-1.592015e-002
1.222399999999985e-004	-1.639118e-002
1.232399999999984e-004	-1.681206e-002
1.242399999999983e-004	-1.718813e-002
1.252399999999983e-004	-1.752416e-002
1.262399999999982e-004	-1.782441e-002
1.272399999999981e-004	-1.809268e-002
1.282399999999980e-004	-1.833240e-002
1.292399999999979e-004	-1.854659e-002
1.302399999999978e-004	-1.873798e-002
1.312399999999978e-004	-1.890898e-002
1.322399999999977e-004	-1.906178e-002
1.332399999999976e-004	-1.919831e-002
1.342399999999975e-004	-1.932030e-002
1.352399999999974e-004	-1.942931e-002
1.362399999999973e-004	-1.952670e-002
