time	V(n002)
Step Information: Index=4  (Run: 4/5)
0.000000000000000e+000	-3.903154e-001
1.000000000000566e-007	-3.891937e-001
2.999999999999531e-007	-3.848840e-001
5.999999999999062e-007	-3.725385e-001
9.999999999999159e-007	-3.488721e-001
1.599999999999822e-006	-3.023886e-001
2.239999999999924e-006	-2.564107e-001
3.239999999999840e-006	-1.900564e-001
4.239999999999756e-006	-1.299301e-001
5.239999999999672e-006	-7.603274e-002
6.239999999999588e-006	-2.771894e-002
7.239999999999504e-006	1.558972e-002
8.239999999999420e-006	5.441175e-002
9.239999999999336e-006	8.921194e-002
1.023999999999925e-005	1.204069e-001
1.123999999999917e-005	1.483703e-001
1.223999999999908e-005	1.734367e-001
1.323999999999900e-005	1.959063e-001
1.423999999999892e-005	2.160481e-001
1.523999999999883e-005	2.341033e-001
1.623999999999875e-005	2.502881e-001
1.723999999999866e-005	2.647961e-001
1.823999999999858e-005	2.778012e-001
1.923999999999849e-005	2.894590e-001
2.023999999999841e-005	2.999091e-001
2.123999999999833e-005	3.092766e-001
2.223999999999824e-005	3.176736e-001
2.323999999999816e-005	3.252008e-001
2.423999999999807e-005	3.319481e-001
2.523999999999799e-005	3.379965e-001
2.623999999999791e-005	3.434182e-001
2.723999999999782e-005	3.482783e-001
2.823999999999774e-005	3.526349e-001
2.923999999999765e-005	3.565402e-001
3.023999999999757e-005	3.600409e-001
3.123999999999749e-005	3.631789e-001
3.223999999999740e-005	3.659919e-001
3.323999999999732e-005	3.685134e-001
3.423999999999723e-005	3.707737e-001
3.523999999999715e-005	3.727999e-001
3.623999999999706e-005	3.746161e-001
3.723999999999698e-005	3.762442e-001
3.823999999999690e-005	3.777037e-001
3.923999999999681e-005	3.790119e-001
4.023999999999673e-005	3.801846e-001
4.123999999999664e-005	3.812358e-001
4.223999999999656e-005	3.821781e-001
4.323999999999648e-005	3.830228e-001
4.423999999999639e-005	3.837800e-001
4.523999999999631e-005	3.844588e-001
4.623999999999622e-005	3.850672e-001
4.723999999999614e-005	3.856126e-001
4.823999999999606e-005	3.861015e-001
4.923999999999597e-005	3.865398e-001
5.023999999999589e-005	3.869326e-001
5.123999999999580e-005	3.872847e-001
5.223999999999572e-005	3.876004e-001
5.323999999999564e-005	3.878834e-001
5.423999999999555e-005	3.881370e-001
5.523999999999547e-005	3.883644e-001
5.623999999999538e-005	3.885682e-001
5.723999999999530e-005	3.887509e-001
5.823999999999521e-005	3.889147e-001
5.923999999999513e-005	3.890615e-001
6.023999999999505e-005	3.891931e-001
6.123999999999496e-005	3.893111e-001
6.223999999999488e-005	3.894168e-001
6.323999999999479e-005	3.895116e-001
6.423999999999471e-005	3.895966e-001
6.523999999999463e-005	3.896728e-001
6.723999999999446e-005	3.898022e-001
6.923999999999429e-005	3.899063e-001
7.123999999999412e-005	3.899899e-001
7.323999999999395e-005	3.900571e-001
7.623999999999370e-005	3.901339e-001
7.923999999999345e-005	3.901893e-001
8.223999999999320e-005	3.902292e-001
8.623999999999286e-005	3.902655e-001
9.123999999999244e-005	3.902934e-001
9.823999999999185e-005	3.903140e-001
1.010000000000000e-004	3.903187e-001
1.011000000000000e-004	3.891969e-001
1.012999999999999e-004	3.848871e-001
1.015999999999999e-004	3.725415e-001
1.020000000000001e-004	3.488749e-001
1.026000000000000e-004	3.023913e-001
1.032400000000001e-004	2.564132e-001
1.042400000000000e-004	1.900587e-001
1.052399999999999e-004	1.299322e-001
1.062399999999999e-004	7.603456e-002
1.072399999999998e-004	2.772057e-002
1.082399999999997e-004	-1.558826e-002
1.092399999999996e-004	-5.441044e-002
1.102399999999995e-004	-8.921076e-002
1.112399999999994e-004	-1.204059e-001
1.122399999999994e-004	-1.483693e-001
1.132399999999993e-004	-1.734358e-001
1.142399999999992e-004	-1.959055e-001
1.152399999999991e-004	-2.160474e-001
1.162399999999990e-004	-2.341027e-001
1.172399999999989e-004	-2.502875e-001
1.182399999999988e-004	-2.647957e-001
1.192399999999988e-004	-2.778008e-001
1.202399999999987e-004	-2.894586e-001
1.212399999999986e-004	-2.999088e-001
1.222399999999985e-004	-3.092763e-001
1.232399999999984e-004	-3.176734e-001
1.242399999999983e-004	-3.252005e-001
1.252399999999983e-004	-3.319479e-001
1.262399999999982e-004	-3.379963e-001
1.272399999999981e-004	-3.434181e-001
1.282399999999980e-004	-3.482782e-001
1.292399999999979e-004	-3.526348e-001
1.302399999999978e-004	-3.565401e-001
1.312399999999978e-004	-3.600408e-001
1.322399999999977e-004	-3.631788e-001
1.332399999999976e-004	-3.659918e-001
1.342399999999975e-004	-3.685133e-001
1.352399999999974e-004	-3.707737e-001
1.362399999999973e-004	-3.727998e-001
1.372399999999972e-004	-3.746161e-001
1.382399999999972e-004	-3.762442e-001
1.392399999999971e-004	-3.777036e-001
