time	V(out)	I(R1)
Step Information: Index=4  (Run: 4/5)
0.000000000000000e+000	-3.903154e-001	-9.193691e-005
1.000000000000566e-007	-3.891937e-001	-5.816125e-005
2.999999999999531e-007	-3.848840e-001	8.976800e-006
5.999999999999062e-007	-3.725385e-001	1.085077e-004
9.999999999999159e-007	-3.488721e-001	2.397744e-004
1.599999999999822e-006	-3.023886e-001	2.304777e-004
2.239999999999924e-006	-2.564107e-001	2.212821e-004
3.239999999999840e-006	-1.900564e-001	2.080113e-004
4.239999999999756e-006	-1.299301e-001	1.959860e-004
5.239999999999672e-006	-7.603274e-002	1.852065e-004
6.239999999999588e-006	-2.771894e-002	1.755438e-004
7.239999999999504e-006	1.558972e-002	1.668821e-004
8.239999999999420e-006	5.441175e-002	1.591177e-004
9.239999999999336e-006	8.921194e-002	1.521576e-004
1.023999999999925e-005	1.204069e-001	1.459186e-004
1.123999999999917e-005	1.483703e-001	1.403260e-004
1.223999999999908e-005	1.734367e-001	1.353127e-004
1.323999999999900e-005	1.959063e-001	1.308187e-004
1.423999999999892e-005	2.160481e-001	1.267904e-004
1.523999999999883e-005	2.341033e-001	1.231793e-004
1.623999999999875e-005	2.502881e-001	1.199424e-004
1.723999999999866e-005	2.647961e-001	1.170408e-004
1.823999999999858e-005	2.778012e-001	1.144398e-004
1.923999999999849e-005	2.894590e-001	1.121082e-004
2.023999999999841e-005	2.999091e-001	1.100182e-004
2.123999999999833e-005	3.092766e-001	1.081447e-004
2.223999999999824e-005	3.176736e-001	1.064653e-004
2.323999999999816e-005	3.252008e-001	1.049598e-004
2.423999999999807e-005	3.319481e-001	1.036104e-004
2.523999999999799e-005	3.379965e-001	1.024007e-004
2.623999999999791e-005	3.434182e-001	1.013163e-004
2.723999999999782e-005	3.482783e-001	1.003443e-004
2.823999999999774e-005	3.526349e-001	9.947301e-005
2.923999999999765e-005	3.565402e-001	9.869195e-005
3.023999999999757e-005	3.600409e-001	9.799182e-005
3.123999999999749e-005	3.631789e-001	9.736421e-005
3.223999999999740e-005	3.659919e-001	9.680162e-005
3.323999999999732e-005	3.685134e-001	9.629731e-005
3.423999999999723e-005	3.707737e-001	9.584525e-005
3.523999999999715e-005	3.727999e-001	9.544002e-005
3.623999999999706e-005	3.746161e-001	9.507677e-005
3.723999999999698e-005	3.762442e-001	9.475116e-005
3.823999999999690e-005	3.777037e-001	9.445927e-005
3.923999999999681e-005	3.790119e-001	9.419762e-005
4.023999999999673e-005	3.801846e-001	9.396308e-005
4.123999999999664e-005	3.812358e-001	9.375284e-005
4.223999999999656e-005	3.821781e-001	9.356438e-005
4.323999999999648e-005	3.830228e-001	9.339544e-005
4.423999999999639e-005	3.837800e-001	9.324399e-005
4.523999999999631e-005	3.844588e-001	9.310825e-005
4.623999999999622e-005	3.850672e-001	9.298656e-005
4.723999999999614e-005	3.856126e-001	9.287748e-005
4.823999999999606e-005	3.861015e-001	9.277970e-005
4.923999999999597e-005	3.865398e-001	9.269205e-005
5.023999999999589e-005	3.869326e-001	9.261348e-005
5.123999999999580e-005	3.872847e-001	9.254305e-005
5.223999999999572e-005	3.876004e-001	9.247992e-005
5.323999999999564e-005	3.878834e-001	9.242332e-005
5.423999999999555e-005	3.881370e-001	9.237260e-005
5.523999999999547e-005	3.883644e-001	9.232712e-005
5.623999999999538e-005	3.885682e-001	9.228635e-005
5.723999999999530e-005	3.887509e-001	9.224981e-005
5.823999999999521e-005	3.889147e-001	9.221706e-005
5.923999999999513e-005	3.890615e-001	9.218770e-005
6.023999999999505e-005	3.891931e-001	9.216138e-005
6.123999999999496e-005	3.893111e-001	9.213779e-005
6.223999999999488e-005	3.894168e-001	9.211664e-005
6.323999999999479e-005	3.895116e-001	9.209767e-005
6.423999999999471e-005	3.895966e-001	9.208068e-005
6.523999999999463e-005	3.896728e-001	9.206545e-005
6.723999999999446e-005	3.898022e-001	9.203955e-005
6.923999999999429e-005	3.899063e-001	9.201874e-005
7.123999999999412e-005	3.899899e-001	9.200202e-005
7.323999999999395e-005	3.900571e-001	9.198859e-005
7.623999999999370e-005	3.901339e-001	9.197321e-005
7.923999999999345e-005	3.901893e-001	9.196215e-005
8.223999999999320e-005	3.902292e-001	9.195417e-005
8.623999999999286e-005	3.902655e-001	9.194689e-005
9.123999999999244e-005	3.902934e-001	9.194131e-005
9.823999999999185e-005	3.903140e-001	9.193720e-005
1.010000000000000e-004	3.903187e-001	9.193626e-005
1.011000000000000e-004	3.891969e-001	5.816062e-005
1.012999999999999e-004	3.848871e-001	-8.977423e-006
1.015999999999999e-004	3.725415e-001	-1.085083e-004
1.020000000000001e-004	3.488749e-001	-2.397750e-004
1.026000000000000e-004	3.023913e-001	-2.304783e-004
1.032400000000001e-004	2.564132e-001	-2.212826e-004
1.042400000000000e-004	1.900587e-001	-2.080117e-004
1.052399999999999e-004	1.299322e-001	-1.959864e-004
1.062399999999999e-004	7.603456e-002	-1.852069e-004
1.072399999999998e-004	2.772057e-002	-1.755441e-004
1.082399999999997e-004	-1.558826e-002	-1.668824e-004
1.092399999999996e-004	-5.441044e-002	-1.591179e-004
1.102399999999995e-004	-8.921076e-002	-1.521579e-004
1.112399999999994e-004	-1.204059e-001	-1.459188e-004
1.122399999999994e-004	-1.483693e-001	-1.403261e-004
1.132399999999993e-004	-1.734358e-001	-1.353128e-004
