time	V(out)
Step Information: Index=3  (Run: 3/5)
0.000000000000000e+000	-1.171945e-001
1.000000000000566e-007	-1.165870e-001
2.999999999999531e-007	-1.142689e-001
5.999999999999062e-007	-1.076999e-001
9.999999999999159e-007	-9.519323e-002
1.279999999999771e-006	-8.377428e-002
1.599999999999822e-006	-7.163346e-002
2.239999999999924e-006	-4.969237e-002
3.239999999999840e-006	-1.997491e-002
4.239999999999756e-006	4.881099e-003
5.239999999999672e-006	2.523303e-002
6.239999999999588e-006	4.189707e-002
7.239999999999504e-006	5.554147e-002
8.239999999999420e-006	6.671341e-002
9.239999999999336e-006	7.586093e-002
1.023999999999925e-005	8.335084e-002
1.123999999999917e-005	8.948354e-002
1.223999999999908e-005	9.450497e-002
1.323999999999900e-005	9.861647e-002
1.423999999999892e-005	1.019829e-001
1.523999999999883e-005	1.047394e-001
1.623999999999875e-005	1.069963e-001
1.723999999999866e-005	1.088443e-001
1.823999999999858e-005	1.103574e-001
1.923999999999849e-005	1.115964e-001
2.023999999999841e-005	1.126108e-001
2.123999999999833e-005	1.134414e-001
2.223999999999824e-005	1.141215e-001
2.323999999999816e-005	1.146784e-001
2.423999999999807e-005	1.151343e-001
2.523999999999799e-005	1.155076e-001
2.623999999999791e-005	1.158133e-001
2.723999999999782e-005	1.160636e-001
2.823999999999774e-005	1.162685e-001
2.923999999999765e-005	1.164363e-001
3.023999999999757e-005	1.165737e-001
3.123999999999749e-005	1.166862e-001
3.223999999999740e-005	1.167783e-001
3.323999999999732e-005	1.168538e-001
3.423999999999723e-005	1.169155e-001
3.523999999999715e-005	1.169661e-001
3.623999999999706e-005	1.170075e-001
3.823999999999690e-005	1.170691e-001
4.023999999999673e-005	1.171105e-001
4.323999999999648e-005	1.171484e-001
4.723999999999614e-005	1.171738e-001
5.423999999999555e-005	1.171894e-001
8.823999999999269e-005	1.171945e-001
1.010000000000000e-004	1.171945e-001
1.011000000000000e-004	1.165870e-001
1.012999999999999e-004	1.142689e-001
1.015999999999999e-004	1.076999e-001
1.020000000000001e-004	9.519323e-002
1.022800000000000e-004	8.377428e-002
1.026000000000000e-004	7.163346e-002
1.032400000000001e-004	4.969237e-002
1.042400000000000e-004	1.997491e-002
1.052399999999999e-004	-4.881099e-003
1.062399999999999e-004	-2.523303e-002
1.072399999999998e-004	-4.189707e-002
1.082399999999997e-004	-5.554147e-002
1.092399999999996e-004	-6.671341e-002
1.102399999999995e-004	-7.586093e-002
1.112399999999994e-004	-8.335084e-002
1.122399999999994e-004	-8.948354e-002
1.132399999999993e-004	-9.450497e-002
1.142399999999992e-004	-9.861647e-002
1.152399999999991e-004	-1.019829e-001
1.162399999999990e-004	-1.047394e-001
