time	V(out)	I(R1)
Step Information: Index=5  (Run: 5/5)
0.000000000000000e+000	-8.645957e-002	-1.527081e-004
1.000000000000566e-007	-8.620390e-002	-1.187592e-004
2.999999999999531e-007	-8.522184e-002	-5.095563e-005
5.999999999999062e-007	-8.240982e-002	5.048197e-005
9.999999999999159e-007	-7.702049e-002	1.854041e-004
1.599999999999822e-006	-6.645120e-002	1.832902e-004
2.239999999999924e-006	-5.601956e-002	1.812039e-004
3.239999999999840e-006	-4.099932e-002	1.781999e-004
4.239999999999756e-006	-2.742785e-002	1.754856e-004
5.239999999999672e-006	-1.530140e-002	1.730603e-004
6.239999999999588e-006	-4.466123e-003	1.708932e-004
7.239999999999504e-006	5.215472e-003	1.689569e-004
8.239999999999420e-006	1.386622e-002	1.672268e-004
9.239999999999336e-006	2.159588e-002	1.656808e-004
1.023999999999925e-005	2.850252e-002	1.642995e-004
1.123999999999917e-005	3.467378e-002	1.630652e-004
1.223999999999908e-005	4.018795e-002	1.619624e-004
1.323999999999900e-005	4.511501e-002	1.609770e-004
1.423999999999892e-005	4.951745e-002	1.600965e-004
1.523999999999883e-005	5.345114e-002	1.593098e-004
1.623999999999875e-005	5.696600e-002	1.586068e-004
1.723999999999866e-005	6.010661e-002	1.579787e-004
1.823999999999858e-005	6.291282e-002	1.574174e-004
1.923999999999849e-005	6.542024e-002	1.569160e-004
2.023999999999841e-005	6.766068e-002	1.564679e-004
2.123999999999833e-005	6.966257e-002	1.560675e-004
2.223999999999824e-005	7.145132e-002	1.557097e-004
2.323999999999816e-005	7.304960e-002	1.553901e-004
2.423999999999807e-005	7.447771e-002	1.551045e-004
2.523999999999799e-005	7.575376e-002	1.548492e-004
2.623999999999791e-005	7.689394e-002	1.546212e-004
2.723999999999782e-005	7.791273e-002	1.544175e-004
2.823999999999774e-005	7.882303e-002	1.542354e-004
2.923999999999765e-005	7.963641e-002	1.540727e-004
3.023999999999757e-005	8.036318e-002	1.539274e-004
3.123999999999749e-005	8.101258e-002	1.537975e-004
3.223999999999740e-005	8.159283e-002	1.536814e-004
3.323999999999732e-005	8.211130e-002	1.535777e-004
3.423999999999723e-005	8.257456e-002	1.534851e-004
3.523999999999715e-005	8.298850e-002	1.534023e-004
3.623999999999706e-005	8.335836e-002	1.533283e-004
3.723999999999698e-005	8.368885e-002	1.532622e-004
3.823999999999690e-005	8.398414e-002	1.532032e-004
3.923999999999681e-005	8.424799e-002	1.531504e-004
4.023999999999673e-005	8.448375e-002	1.531032e-004
4.123999999999664e-005	8.469441e-002	1.530611e-004
4.223999999999656e-005	8.488263e-002	1.530235e-004
4.323999999999648e-005	8.505082e-002	1.529898e-004
4.423999999999639e-005	8.520110e-002	1.529598e-004
4.523999999999631e-005	8.533537e-002	1.529329e-004
4.623999999999622e-005	8.545536e-002	1.529089e-004
4.723999999999614e-005	8.556256e-002	1.528875e-004
4.823999999999606e-005	8.565835e-002	1.528683e-004
4.923999999999597e-005	8.574394e-002	1.528512e-004
5.023999999999589e-005	8.582042e-002	1.528359e-004
5.123999999999580e-005	8.588876e-002	1.528222e-004
5.223999999999572e-005	8.594981e-002	1.528100e-004
5.323999999999564e-005	8.600437e-002	1.527991e-004
5.423999999999555e-005	8.605312e-002	1.527894e-004
