time	V(out)	I(R1)
Step Information: Index=3  (Run: 3/5)
0.000000000000000e+000	-4.980768e-001	-7.038463e-005
1.000000000000566e-007	-4.954946e-001	-3.690107e-005
2.999999999999531e-007	-4.856429e-001	2.912859e-005
5.999999999999062e-007	-4.577248e-001	1.255449e-004
9.999999999999159e-007	-4.045712e-001	2.509143e-004
1.279999999999771e-006	-3.560407e-001	2.412081e-004
1.599999999999822e-006	-3.044422e-001	2.308884e-004
2.239999999999924e-006	-2.111926e-001	2.122385e-004
3.239999999999840e-006	-8.489336e-002	1.869787e-004
4.239999999999756e-006	2.074467e-002	1.658511e-004
5.239999999999672e-006	1.072404e-001	1.485519e-004
6.239999999999588e-006	1.780625e-001	1.343875e-004
7.239999999999504e-006	2.360512e-001	1.227898e-004
8.239999999999420e-006	2.835320e-001	1.132936e-004
9.239999999999336e-006	3.224089e-001	1.055182e-004
1.023999999999925e-005	3.542411e-001	9.915177e-005
1.123999999999917e-005	3.803051e-001	9.393898e-005
1.223999999999908e-005	4.016461e-001	8.967078e-005
1.323999999999900e-005	4.191200e-001	8.617601e-005
1.423999999999892e-005	4.334275e-001	8.331450e-005
1.523999999999883e-005	4.451424e-001	8.097153e-005
1.623999999999875e-005	4.547344e-001	7.905311e-005
1.723999999999866e-005	4.625884e-001	7.748233e-005
1.823999999999858e-005	4.690191e-001	7.619617e-005
1.923999999999849e-005	4.742846e-001	7.514309e-005
2.023999999999841e-005	4.785959e-001	7.428082e-005
2.123999999999833e-005	4.821260e-001	7.357480e-005
2.223999999999824e-005	4.850164e-001	7.299673e-005
2.323999999999816e-005	4.873830e-001	7.252340e-005
2.423999999999807e-005	4.893208e-001	7.213584e-005
2.523999999999799e-005	4.909075e-001	7.181851e-005
2.623999999999791e-005	4.922066e-001	7.155868e-005
2.723999999999782e-005	4.932703e-001	7.134594e-005
2.823999999999774e-005	4.941413e-001	7.117174e-005
2.923999999999765e-005	4.948545e-001	7.102911e-005
3.023999999999757e-005	4.954384e-001	7.091233e-005
3.123999999999749e-005	4.959165e-001	7.081671e-005
3.223999999999740e-005	4.963079e-001	7.073841e-005
3.323999999999732e-005	4.966285e-001	7.067430e-005
3.423999999999723e-005	4.968909e-001	7.062181e-005
3.523999999999715e-005	4.971058e-001	7.057883e-005
3.623999999999706e-005	4.972818e-001	7.054365e-005
3.723999999999698e-005	4.974259e-001	7.051483e-005
3.823999999999690e-005	4.975438e-001	7.049124e-005
3.923999999999681e-005	4.976404e-001	7.047192e-005
4.023999999999673e-005	4.977195e-001	7.045610e-005
4.123999999999664e-005	4.977843e-001	7.044315e-005
4.223999999999656e-005	4.978372e-001	7.043255e-005
4.323999999999648e-005	4.978807e-001	7.042386e-005
4.523999999999631e-005	4.979453e-001	7.041093e-005
4.723999999999614e-005	4.979887e-001	7.040227e-005
5.023999999999589e-005	4.980285e-001	7.039431e-005
5.423999999999555e-005	4.980551e-001	7.038898e-005
6.123999999999496e-005	4.980715e-001	7.038571e-005
9.223999999999235e-005	4.980768e-001	7.038463e-005
1.010000000000000e-004	4.980769e-001	7.038463e-005
1.011000000000000e-004	4.954946e-001	3.690107e-005
1.012999999999999e-004	4.856429e-001	-2.912859e-005
1.015999999999999e-004	4.577248e-001	-1.255449e-004
1.020000000000001e-004	4.045712e-001	-2.509143e-004
1.022800000000000e-004	3.560407e-001	-2.412081e-004
1.026000000000000e-004	3.044422e-001	-2.308884e-004
