time	V(out)
Step Information: Index=4  (Run: 4/5)
0.000000000000000e+000	-9.183893e-002
1.000000000000566e-007	-9.157500e-002
2.999999999999531e-007	-9.056094e-002
5.999999999999062e-007	-8.765612e-002
9.999999999999159e-007	-8.208754e-002
1.599999999999822e-006	-7.115027e-002
2.239999999999924e-006	-6.033192e-002
3.239999999999840e-006	-4.471916e-002
4.239999999999756e-006	-3.057180e-002
5.239999999999672e-006	-1.789006e-002
6.239999999999588e-006	-6.522103e-003
7.239999999999504e-006	3.668169e-003
8.239999999999420e-006	1.280276e-002
9.239999999999336e-006	2.099104e-002
1.023999999999925e-005	2.833105e-002
1.123999999999917e-005	3.491065e-002
1.223999999999908e-005	4.080863e-002
1.323999999999900e-005	4.609559e-002
1.423999999999892e-005	5.083485e-002
1.523999999999883e-005	5.508313e-002
1.623999999999875e-005	5.889131e-002
1.723999999999866e-005	6.230497e-002
1.823999999999858e-005	6.536499e-002
1.923999999999849e-005	6.810800e-002
2.023999999999841e-005	7.056685e-002
2.123999999999833e-005	7.277096e-002
2.223999999999824e-005	7.474674e-002
2.323999999999816e-005	7.651784e-002
2.423999999999807e-005	7.810545e-002
2.523999999999799e-005	7.952859e-002
2.623999999999791e-005	8.080430e-002
2.723999999999782e-005	8.194785e-002
2.823999999999774e-005	8.297293e-002
2.923999999999765e-005	8.389182e-002
3.023999999999757e-005	8.471551e-002
3.123999999999749e-005	8.545387e-002
3.223999999999740e-005	8.611574e-002
3.323999999999732e-005	8.670904e-002
3.423999999999723e-005	8.724088e-002
3.523999999999715e-005	8.771762e-002
3.623999999999706e-005	8.814497e-002
3.723999999999698e-005	8.852805e-002
3.823999999999690e-005	8.887145e-002
3.923999999999681e-005	8.917927e-002
4.023999999999673e-005	8.945520e-002
4.123999999999664e-005	8.970255e-002
4.223999999999656e-005	8.992427e-002
4.323999999999648e-005	9.012302e-002
4.423999999999639e-005	9.030119e-002
4.523999999999631e-005	9.046088e-002
4.623999999999622e-005	9.060404e-002
4.723999999999614e-005	9.073237e-002
4.823999999999606e-005	9.084741e-002
4.923999999999597e-005	9.095053e-002
5.023999999999589e-005	9.104297e-002
5.123999999999580e-005	9.112582e-002
5.323999999999564e-005	9.126668e-002
5.523999999999547e-005	9.137986e-002
5.723999999999530e-005	9.147081e-002
5.923999999999513e-005	9.154388e-002
6.123999999999496e-005	9.160261e-002
6.423999999999471e-005	9.166978e-002
6.723999999999446e-005	9.171817e-002
7.123999999999412e-005	9.176233e-002
7.623999999999370e-005	9.179622e-002
8.323999999999311e-005	9.182113e-002
9.423999999999219e-005	9.183628e-002
1.010000000000000e-004	9.183969e-002
1.011000000000000e-004	9.157574e-002
1.012999999999999e-004	9.056167e-002
1.015999999999999e-004	8.765683e-002
1.020000000000001e-004	8.208822e-002
1.026000000000000e-004	7.115090e-002
1.032400000000001e-004	6.033251e-002
1.042400000000000e-004	4.471969e-002
1.052399999999999e-004	3.057227e-002
1.062399999999999e-004	1.789049e-002
1.072399999999998e-004	6.522486e-003
1.082399999999997e-004	-3.667826e-003
1.092399999999996e-004	-1.280246e-002
1.102399999999995e-004	-2.099077e-002
1.112399999999994e-004	-2.833080e-002
1.122399999999994e-004	-3.491043e-002
1.132399999999993e-004	-4.080843e-002
1.142399999999992e-004	-4.609542e-002
1.152399999999991e-004	-5.083469e-002
1.162399999999990e-004	-5.508299e-002
1.172399999999989e-004	-5.889118e-002
1.182399999999988e-004	-6.230486e-002
1.192399999999988e-004	-6.536489e-002
1.202399999999987e-004	-6.810790e-002
1.212399999999986e-004	-7.056676e-002
1.222399999999985e-004	-7.277089e-002
1.232399999999984e-004	-7.474667e-002
1.242399999999983e-004	-7.651777e-002
1.252399999999983e-004	-7.810539e-002
1.262399999999982e-004	-7.952854e-002
1.272399999999981e-004	-8.080426e-002
1.282399999999980e-004	-8.194781e-002
1.292399999999979e-004	-8.297289e-002
1.302399999999978e-004	-8.389178e-002
1.312399999999978e-004	-8.471548e-002
1.322399999999977e-004	-8.545385e-002
1.332399999999976e-004	-8.611572e-002
1.342399999999975e-004	-8.670902e-002
1.352399999999974e-004	-8.724086e-002
1.362399999999973e-004	-8.771761e-002
1.372399999999972e-004	-8.814496e-002
1.382399999999972e-004	-8.852804e-002
1.392399999999971e-004	-8.887144e-002
1.402399999999970e-004	-8.917926e-002
1.412399999999969e-004	-8.945519e-002
1.422399999999968e-004	-8.970254e-002
1.432399999999967e-004	-8.992426e-002
1.442399999999967e-004	-9.012301e-002
1.452399999999966e-004	-9.030117e-002
1.462399999999965e-004	-9.046088e-002
1.472399999999964e-004	-9.060404e-002
1.482399999999963e-004	-9.073237e-002
1.492399999999962e-004	-9.084740e-002
1.502399999999962e-004	-9.095052e-002
1.512399999999961e-004	-9.104296e-002
1.522399999999960e-004	-9.112582e-002
1.542399999999958e-004	-9.126668e-002
1.562399999999956e-004	-9.137986e-002
1.582399999999955e-004	-9.147080e-002
1.602399999999953e-004	-9.154388e-002
1.622399999999951e-004	-9.160261e-002
1.652399999999949e-004	-9.166978e-002
1.682399999999946e-004	-9.171817e-002
1.722399999999943e-004	-9.176233e-002
1.772399999999939e-004	-9.179622e-002
1.842399999999933e-004	-9.182113e-002
1.952399999999924e-004	-9.183628e-002
2.000000000000001e-004	-9.183893e-002
2.001000000000002e-004	-9.157500e-002
2.003000000000000e-004	-9.056094e-002
2.006000000000000e-004	-8.765612e-002
2.010000000000000e-004	-8.208754e-002
2.015999999999999e-004	-7.115027e-002
2.022400000000000e-004	-6.033192e-002
2.032399999999999e-004	-4.471916e-002
2.042399999999999e-004	-3.057180e-002
2.052399999999998e-004	-1.789006e-002
2.062399999999997e-004	-6.522103e-003
2.072399999999996e-004	3.668169e-003
2.082399999999995e-004	1.280276e-002
2.092399999999994e-004	2.099104e-002
2.102399999999993e-004	2.833105e-002
2.112399999999993e-004	3.491065e-002
2.122399999999992e-004	4.080863e-002
2.132399999999991e-004	4.609559e-002
2.142399999999990e-004	5.083485e-002
2.152399999999989e-004	5.508313e-002
2.162399999999988e-004	5.889131e-002
2.172399999999988e-004	6.230497e-002
2.182399999999987e-004	6.536499e-002
2.192399999999986e-004	6.810800e-002
2.202399999999985e-004	7.056685e-002
2.212399999999984e-004	7.277096e-002
2.222399999999983e-004	7.474674e-002
2.232399999999983e-004	7.651784e-002
2.242399999999982e-004	7.810545e-002
2.252399999999981e-004	7.952859e-002
2.262399999999980e-004	8.080430e-002
2.272399999999979e-004	8.194785e-002
2.282399999999978e-004	8.297293e-002
2.292399999999977e-004	8.389182e-002
2.302399999999977e-004	8.471551e-002
2.312399999999976e-004	8.545387e-002
2.322399999999975e-004	8.611574e-002
2.332399999999974e-004	8.670904e-002
2.342399999999973e-004	8.724088e-002
2.352399999999972e-004	8.771762e-002
2.362399999999972e-004	8.814497e-002
2.372399999999971e-004	8.852805e-002
2.382399999999970e-004	8.887145e-002
2.392399999999969e-004	8.917927e-002
2.402399999999968e-004	8.945520e-002
2.412399999999967e-004	8.970255e-002
2.422399999999967e-004	8.992427e-002
2.432399999999966e-004	9.012302e-002
2.442399999999965e-004	9.030119e-002
2.452399999999964e-004	9.046088e-002
2.462399999999963e-004	9.060404e-002
2.472399999999962e-004	9.073237e-002
2.482399999999962e-004	9.084741e-002
2.492399999999961e-004	9.095053e-002
2.502399999999960e-004	9.104297e-002
2.512399999999959e-004	9.112582e-002
2.532399999999957e-004	9.126668e-002
2.552399999999956e-004	9.137986e-002
2.572399999999954e-004	9.147081e-002
2.592399999999952e-004	9.154388e-002
2.612399999999951e-004	9.160261e-002
2.642399999999948e-004	9.166978e-002
2.672399999999946e-004	9.171817e-002
2.712399999999942e-004	9.176233e-002
2.762399999999938e-004	9.179622e-002
2.772399999999937e-004	9.180104e-002
2.842399999999931e-004	9.182337e-002
2.962399999999921e-004	9.183756e-002
3.010000000000001e-004	9.183969e-002
3.011000000000001e-004	9.157574e-002
3.013000000000000e-004	9.056167e-002
3.016000000000000e-004	8.765683e-002
3.020000000000002e-004	8.208822e-002
3.026000000000001e-004	7.115090e-002
3.032400000000002e-004	6.033251e-002
3.042400000000001e-004	4.471969e-002
3.052400000000000e-004	3.057227e-002
3.062399999999999e-004	1.789049e-002
3.072399999999999e-004	6.522486e-003
3.082399999999998e-004	-3.667825e-003
3.092399999999997e-004	-1.280246e-002
3.102399999999996e-004	-2.099077e-002
3.112399999999995e-004	-2.833080e-002
3.122399999999994e-004	-3.491043e-002
3.132399999999994e-004	-4.080843e-002
3.142399999999993e-004	-4.609542e-002
3.152399999999992e-004	-5.083469e-002
3.162399999999991e-004	-5.508299e-002
3.172399999999990e-004	-5.889118e-002
3.182399999999989e-004	-6.230486e-002
3.192399999999989e-004	-6.536489e-002
3.202399999999988e-004	-6.810790e-002
3.212399999999987e-004	-7.056676e-002
3.222399999999986e-004	-7.277089e-002
3.232399999999985e-004	-7.474667e-002
3.242399999999984e-004	-7.651778e-002
3.252399999999983e-004	-7.810539e-002
3.262399999999983e-004	-7.952854e-002
3.272399999999982e-004	-8.080426e-002
3.282399999999981e-004	-8.194781e-002
3.292399999999980e-004	-8.297289e-002
3.302399999999979e-004	-8.389178e-002
3.312399999999978e-004	-8.471548e-002
3.322399999999978e-004	-8.545385e-002
3.332399999999977e-004	-8.611572e-002
3.342399999999976e-004	-8.670902e-002
3.352399999999975e-004	-8.724086e-002
3.362399999999974e-004	-8.771761e-002
3.372399999999973e-004	-8.814496e-002
3.382399999999973e-004	-8.852804e-002
3.392399999999972e-004	-8.887144e-002
3.402399999999971e-004	-8.917926e-002
3.412399999999970e-004	-8.945519e-002
3.422399999999969e-004	-8.970254e-002
3.432399999999968e-004	-8.992426e-002
3.442399999999967e-004	-9.012301e-002
3.452399999999967e-004	-9.030117e-002
3.462399999999966e-004	-9.046088e-002
3.472399999999965e-004	-9.060404e-002
3.482399999999964e-004	-9.073237e-002
3.492399999999963e-004	-9.084740e-002
3.502399999999962e-004	-9.095052e-002
3.512399999999962e-004	-9.104296e-002
3.522399999999961e-004	-9.112582e-002
3.542399999999959e-004	-9.126668e-002
3.562399999999957e-004	-9.137986e-002
3.582399999999956e-004	-9.147080e-002
3.602399999999954e-004	-9.154388e-002
3.622399999999952e-004	-9.160261e-002
3.652399999999950e-004	-9.166978e-002
3.682399999999947e-004	-9.171817e-002
