time	V(out)
Step Information: Index=1  (Run: 1/5)
0.000000000000000e+000	-1.979459e-001
6.130136301590698e-008	-1.933971e-001
1.839040890479378e-007	-1.767672e-001
4.291095411117826e-007	-1.240866e-001
5.838048052020459e-007	-8.029947e-002
7.461985384422335e-007	-2.701761e-002
8.107399475682387e-007	-4.604481e-003
8.796455316405823e-007	2.005888e-002
9.320156309966434e-007	3.922647e-002
9.999999999999159e-007	6.431302e-002
1.006798436900156e-006	6.679565e-002
1.020395310700854e-006	7.159816e-002
1.047589058302250e-006	8.058073e-002
1.101976553504825e-006	9.630886e-002
1.210751543909974e-006	1.210935e-001
1.400524077052080e-006	1.516415e-001
1.587652596685618e-006	1.703854e-001
1.835313840441210e-006	1.839050e-001
2.097443069292793e-006	1.911076e-001
2.465613399352468e-006	1.953767e-001
2.895937015907511e-006	1.971574e-001
3.542966932008895e-006	1.978015e-001
4.424475618483885e-006	1.979407e-001
1.142447561848330e-005	1.979459e-001
1.010000000000000e-004	1.979459e-001
1.010504752611116e-004	1.947618e-001
1.011514257833349e-004	1.828615e-001
1.013533268277816e-004	1.435713e-001
1.015227225923806e-004	9.855912e-002
1.016992819323293e-004	4.267382e-002
1.018038970190946e-004	6.546217e-003
1.020000000000001e-004	-6.425224e-002
1.020196102980906e-004	-7.105978e-002
1.020588308942717e-004	-8.366881e-002
1.021372720866338e-004	-1.048462e-001
1.022802747017481e-004	-1.339376e-001
1.024637216650768e-004	-1.590102e-001
1.026746105848206e-004	-1.761346e-001
1.029211565175018e-004	-1.868243e-001
1.032219454772903e-004	-1.930168e-001
1.036024712758983e-004	-1.961734e-001
1.041036101248841e-004	-1.974844e-001
1.048065068150804e-004	-1.978817e-001
1.058065068150803e-004	-1.979455e-001
2.000000000000001e-004	-1.979459e-001
2.000613013630145e-004	-1.933971e-001
2.001839040890435e-004	-1.767672e-001
2.004291095411013e-004	-1.240866e-001
2.005838048051939e-004	-8.029947e-002
2.007461985384330e-004	-2.701761e-002
2.008107399475655e-004	-4.604481e-003
2.008796455316611e-004	2.005888e-002
2.010000000000000e-004	6.432679e-002
2.010203953106348e-004	7.159816e-002
2.010475890581477e-004	8.058073e-002
2.011019765531738e-004	9.630886e-002
2.012107515432259e-004	1.210935e-001
2.014005240764756e-004	1.516415e-001
2.015876525958383e-004	1.703854e-001
2.018353138396691e-004	1.839050e-001
2.020974430681222e-004	1.911076e-001
2.024656133981482e-004	1.953767e-001
2.028959370140157e-004	1.971574e-001
2.035429669297539e-004	1.978015e-001
2.044244756143957e-004	1.979407e-001
2.114244756143951e-004	1.979459e-001
2.434244756143924e-004	1.979459e-001
3.010000000000001e-004	1.979459e-001
3.010504752611117e-004	1.947618e-001
3.011514257833350e-004	1.828615e-001
3.013533268277817e-004	1.435713e-001
3.015227225923807e-004	9.855912e-002
3.016992819323294e-004	4.267382e-002
3.018038970190947e-004	6.546217e-003
3.020000000000002e-004	-6.425224e-002
3.020196102980907e-004	-7.105978e-002
3.020588308942718e-004	-8.366881e-002
3.021372720866339e-004	-1.048462e-001
3.022802747017482e-004	-1.339376e-001
3.024637216650769e-004	-1.590102e-001
3.026746105848207e-004	-1.761346e-001
3.029211565175019e-004	-1.868243e-001
3.032219454772904e-004	-1.930168e-001
3.036024712758983e-004	-1.961734e-001
3.041036101248842e-004	-1.974844e-001
3.048065068150805e-004	-1.978817e-001
3.058065068150804e-004	-1.979455e-001
4.000000000000002e-004	-1.979459e-001
4.000613013630146e-004	-1.933971e-001
4.001839040890436e-004	-1.767672e-001
4.004291095411013e-004	-1.240866e-001
4.005838048051940e-004	-8.029947e-002
4.007461985384331e-004	-2.701761e-002
4.008107399475654e-004	-4.604481e-003
4.008796455316601e-004	2.005888e-002
4.009999999999999e-004	6.432679e-002
4.010203953106373e-004	7.159816e-002
4.010475890581537e-004	8.058073e-002
4.011019765531867e-004	9.630886e-002
4.012107515432527e-004	1.210935e-001
4.014005240764980e-004	1.516415e-001
4.015876525958714e-004	1.703854e-001
4.018353138396992e-004	1.839050e-001
4.020974430681678e-004	1.911076e-001
4.024656133981952e-004	1.953767e-001
4.028959370140897e-004	1.971574e-001
4.035429669298422e-004	1.978015e-001
4.044244756145562e-004	1.979407e-001
4.114244756145556e-004	1.979459e-001
5.009999999999999e-004	1.979459e-001
5.010504752611116e-004	1.947618e-001
5.011514257833348e-004	1.828615e-001
5.013533268277816e-004	1.435713e-001
5.015227225923806e-004	9.855912e-002
5.016992819323292e-004	4.267382e-002
5.018038970190945e-004	6.546217e-003
5.020000000000001e-004	-6.425224e-002
5.020196102980905e-004	-7.105978e-002
5.020588308942717e-004	-8.366881e-002
5.021372720866338e-004	-1.048462e-001
5.022802747017480e-004	-1.339376e-001
5.024637216650767e-004	-1.590102e-001
5.026746105848206e-004	-1.761346e-001
5.029211565175018e-004	-1.868243e-001
5.032219454772903e-004	-1.930168e-001
5.036024712758982e-004	-1.961734e-001
5.041036101248841e-004	-1.974844e-001
5.048065068150804e-004	-1.978817e-001
5.058065068150803e-004	-1.979455e-001
6.000000000000001e-004	-1.979459e-001
6.000613013630144e-004	-1.933971e-001
6.001839040890434e-004	-1.767672e-001
6.004291095411012e-004	-1.240866e-001
6.005838048051939e-004	-8.029947e-002
6.007461985384330e-004	-2.701761e-002
6.008107399475655e-004	-4.604481e-003
6.008796455316610e-004	2.005888e-002
6.010000000000000e-004	6.432679e-002
6.010203953106348e-004	7.159816e-002
6.010475890581477e-004	8.058073e-002
6.011019765531738e-004	9.630886e-002
6.012107515432259e-004	1.210935e-001
6.014005240764756e-004	1.516415e-001
6.015876525958383e-004	1.703854e-001
6.018353138396691e-004	1.839050e-001
6.020974430681221e-004	1.911076e-001
6.024656133981482e-004	1.953767e-001
6.028959370140156e-004	1.971574e-001
6.035429669297538e-004	1.978015e-001
6.044244756143956e-004	1.979407e-001
6.114244756143950e-004	1.979459e-001
7.010000000000000e-004	1.979459e-001
7.010504752611117e-004	1.947618e-001
7.011514257833349e-004	1.828615e-001
7.013533268277817e-004	1.435713e-001
7.015227225923807e-004	9.855912e-002
7.016992819323293e-004	4.267382e-002
7.018038970190946e-004	6.546217e-003
7.020000000000002e-004	-6.425224e-002
7.020196102980906e-004	-7.105978e-002
7.020588308942718e-004	-8.366881e-002
7.021372720866339e-004	-1.048462e-001
7.022802747017481e-004	-1.339376e-001
7.024637216650768e-004	-1.590102e-001
7.026746105848207e-004	-1.761346e-001
7.029211565175019e-004	-1.868243e-001
7.032219454772904e-004	-1.930168e-001
7.036024712758983e-004	-1.961734e-001
7.041036101248842e-004	-1.974844e-001
7.048065068150805e-004	-1.978817e-001
7.058065068150804e-004	-1.979455e-001
7.568065068150761e-004	-1.979459e-001
8.000000000000002e-004	-1.979459e-001
8.000613013630145e-004	-1.933971e-001
8.001839040890435e-004	-1.767672e-001
8.004291095411013e-004	-1.240866e-001
8.005838048051940e-004	-8.029947e-002
8.007461985384331e-004	-2.701761e-002
8.008107399475656e-004	-4.604481e-003
8.008796455316611e-004	2.005888e-002
8.010000000000001e-004	6.432679e-002
8.010203953106349e-004	7.159816e-002
8.010475890581478e-004	8.058073e-002
8.011019765531739e-004	9.630886e-002
8.012107515432260e-004	1.210935e-001
8.014005240764757e-004	1.516415e-001
8.015876525958384e-004	1.703854e-001
8.018353138396692e-004	1.839050e-001
8.020974430681222e-004	1.911076e-001
8.024656133981483e-004	1.953767e-001
8.028959370140157e-004	1.971574e-001
8.035429669297539e-004	1.978015e-001
8.044244756143957e-004	1.979407e-001
8.114244756143951e-004	1.979459e-001
9.010000000000001e-004	1.979459e-001
9.010504752611117e-004	1.947618e-001
9.011514257833350e-004	1.828615e-001
9.013533268277818e-004	1.435713e-001
9.015227225923808e-004	9.855912e-002
9.016992819323294e-004	4.267382e-002
9.018038970190947e-004	6.546217e-003
9.020000000000002e-004	-6.425224e-002
9.020196102980907e-004	-7.105978e-002
9.020588308942719e-004	-8.366881e-002
9.021372720866339e-004	-1.048462e-001
9.022802747017482e-004	-1.339376e-001
9.024637216650769e-004	-1.590102e-001
9.026746105848208e-004	-1.761346e-001
9.029211565175020e-004	-1.868243e-001
9.032219454772905e-004	-1.930168e-001
9.036024712758984e-004	-1.961734e-001
9.041036101248843e-004	-1.974844e-001
9.048065068150805e-004	-1.978817e-001
9.058065068150805e-004	-1.979455e-001
9.993869863698349e-004	-1.979459e-001
1.000000000000000e-003	-1.979459e-001
