time	V(n002)
Step Information: Index=5  (Run: 5/5)
0.000000000000000e+000	-8.645957e-002
1.000000000000566e-007	-8.620390e-002
2.999999999999531e-007	-8.522184e-002
5.999999999999062e-007	-8.240982e-002
9.999999999999159e-007	-7.702049e-002
1.599999999999822e-006	-6.645120e-002
2.239999999999924e-006	-5.601956e-002
3.239999999999840e-006	-4.099932e-002
4.239999999999756e-006	-2.742785e-002
5.239999999999672e-006	-1.530140e-002
6.239999999999588e-006	-4.466123e-003
7.239999999999504e-006	5.215472e-003
8.239999999999420e-006	1.386622e-002
9.239999999999336e-006	2.159588e-002
1.023999999999925e-005	2.850252e-002
1.123999999999917e-005	3.467378e-002
1.223999999999908e-005	4.018795e-002
1.323999999999900e-005	4.511501e-002
1.423999999999892e-005	4.951745e-002
1.523999999999883e-005	5.345114e-002
1.623999999999875e-005	5.696600e-002
1.723999999999866e-005	6.010661e-002
1.823999999999858e-005	6.291282e-002
1.923999999999849e-005	6.542024e-002
2.023999999999841e-005	6.766068e-002
2.123999999999833e-005	6.966257e-002
2.223999999999824e-005	7.145132e-002
2.323999999999816e-005	7.304960e-002
2.423999999999807e-005	7.447771e-002
2.523999999999799e-005	7.575376e-002
2.623999999999791e-005	7.689394e-002
2.723999999999782e-005	7.791273e-002
2.823999999999774e-005	7.882303e-002
2.923999999999765e-005	7.963641e-002
3.023999999999757e-005	8.036318e-002
3.123999999999749e-005	8.101258e-002
3.223999999999740e-005	8.159283e-002
3.323999999999732e-005	8.211130e-002
3.423999999999723e-005	8.257456e-002
3.523999999999715e-005	8.298850e-002
3.623999999999706e-005	8.335836e-002
3.723999999999698e-005	8.368885e-002
3.823999999999690e-005	8.398414e-002
3.923999999999681e-005	8.424799e-002
4.023999999999673e-005	8.448375e-002
4.123999999999664e-005	8.469441e-002
4.223999999999656e-005	8.488263e-002
4.323999999999648e-005	8.505082e-002
4.423999999999639e-005	8.520110e-002
4.523999999999631e-005	8.533537e-002
4.623999999999622e-005	8.545536e-002
4.723999999999614e-005	8.556256e-002
4.823999999999606e-005	8.565835e-002
4.923999999999597e-005	8.574394e-002
5.023999999999589e-005	8.582042e-002
5.123999999999580e-005	8.588876e-002
5.223999999999572e-005	8.594981e-002
5.323999999999564e-005	8.600437e-002
5.423999999999555e-005	8.605312e-002
5.523999999999547e-005	8.609667e-002
5.623999999999538e-005	8.613560e-002
5.723999999999530e-005	8.617038e-002
5.823999999999521e-005	8.620144e-002
5.923999999999513e-005	8.622921e-002
6.023999999999505e-005	8.625402e-002
6.123999999999496e-005	8.627619e-002
6.223999999999488e-005	8.629599e-002
6.323999999999479e-005	8.631369e-002
6.423999999999471e-005	8.632950e-002
6.623999999999454e-005	8.635626e-002
6.823999999999437e-005	8.637762e-002
7.023999999999421e-005	8.639468e-002
7.223999999999404e-005	8.640829e-002
7.523999999999378e-005	8.642375e-002
7.823999999999353e-005	8.643477e-002
8.223999999999320e-005	8.644472e-002
8.723999999999278e-005	8.645225e-002
9.323999999999227e-005	8.645714e-002
1.010000000000000e-004	8.646010e-002
1.011000000000000e-004	8.620442e-002
1.012999999999999e-004	8.522236e-002
1.015999999999999e-004	8.241032e-002
1.020000000000001e-004	7.702097e-002
1.026000000000000e-004	6.645165e-002
1.032400000000001e-004	5.601997e-002
1.042400000000000e-004	4.099969e-002
1.052399999999999e-004	2.742818e-002
1.062399999999999e-004	1.530170e-002
1.072399999999998e-004	4.466387e-003
1.082399999999997e-004	-5.215236e-003
1.092399999999996e-004	-1.386601e-002
1.102399999999995e-004	-2.159569e-002
1.112399999999994e-004	-2.850235e-002
1.122399999999994e-004	-3.467363e-002
1.132399999999993e-004	-4.018782e-002
1.142399999999992e-004	-4.511488e-002
1.152399999999991e-004	-4.951734e-002
1.162399999999990e-004	-5.345105e-002
1.172399999999989e-004	-5.696591e-002
1.182399999999988e-004	-6.010653e-002
1.192399999999988e-004	-6.291275e-002
1.202399999999987e-004	-6.542018e-002
1.212399999999986e-004	-6.766063e-002
1.222399999999985e-004	-6.966253e-002
1.232399999999984e-004	-7.145128e-002
1.242399999999983e-004	-7.304956e-002
1.252399999999983e-004	-7.447767e-002
1.262399999999982e-004	-7.575373e-002
1.272399999999981e-004	-7.689391e-002
1.282399999999980e-004	-7.791270e-002
1.292399999999979e-004	-7.882301e-002
1.302399999999978e-004	-7.963639e-002
1.312399999999978e-004	-8.036317e-002
1.322399999999977e-004	-8.101256e-002
1.332399999999976e-004	-8.159281e-002
1.342399999999975e-004	-8.211128e-002
1.352399999999974e-004	-8.257455e-002
1.362399999999973e-004	-8.298849e-002
1.372399999999972e-004	-8.335835e-002
1.382399999999972e-004	-8.368883e-002
1.392399999999971e-004	-8.398413e-002
1.402399999999970e-004	-8.424798e-002
1.412399999999969e-004	-8.448374e-002
1.422399999999968e-004	-8.469440e-002
1.432399999999967e-004	-8.488263e-002
1.442399999999967e-004	-8.505081e-002
1.452399999999966e-004	-8.520109e-002
1.462399999999965e-004	-8.533537e-002
1.472399999999964e-004	-8.545535e-002
1.482399999999963e-004	-8.556256e-002
1.492399999999962e-004	-8.565835e-002
1.502399999999962e-004	-8.574393e-002
1.512399999999961e-004	-8.582041e-002
1.522399999999960e-004	-8.588875e-002
1.532399999999959e-004	-8.594981e-002
1.542399999999958e-004	-8.600437e-002
1.552399999999957e-004	-8.605312e-002
1.562399999999956e-004	-8.609667e-002
1.572399999999956e-004	-8.613560e-002
1.582399999999955e-004	-8.617038e-002
1.592399999999954e-004	-8.620144e-002
1.602399999999953e-004	-8.622921e-002
1.612399999999952e-004	-8.625402e-002
1.622399999999951e-004	-8.627619e-002
1.632399999999951e-004	-8.629599e-002
1.642399999999950e-004	-8.631369e-002
1.652399999999949e-004	-8.632950e-002
1.672399999999947e-004	-8.635626e-002
1.692399999999946e-004	-8.637762e-002
1.712399999999944e-004	-8.639468e-002
1.732399999999942e-004	-8.640829e-002
1.762399999999940e-004	-8.642375e-002
1.792399999999937e-004	-8.643477e-002
1.832399999999934e-004	-8.644472e-002
1.882399999999930e-004	-8.645225e-002
1.942399999999925e-004	-8.645714e-002
2.000000000000001e-004	-8.645957e-002
2.001000000000002e-004	-8.620390e-002
2.003000000000000e-004	-8.522184e-002
2.006000000000000e-004	-8.240982e-002
2.010000000000000e-004	-7.702049e-002
2.015999999999999e-004	-6.645120e-002
2.022400000000000e-004	-5.601956e-002
2.032399999999999e-004	-4.099932e-002
2.042399999999999e-004	-2.742785e-002
2.052399999999998e-004	-1.530140e-002
2.062399999999997e-004	-4.466123e-003
2.072399999999996e-004	5.215472e-003
2.082399999999995e-004	1.386622e-002
2.092399999999994e-004	2.159588e-002
2.102399999999993e-004	2.850252e-002
2.112399999999993e-004	3.467378e-002
2.122399999999992e-004	4.018795e-002
2.132399999999991e-004	4.511501e-002
2.142399999999990e-004	4.951745e-002
2.152399999999989e-004	5.345114e-002
2.162399999999988e-004	5.696600e-002
2.172399999999988e-004	6.010661e-002
2.182399999999987e-004	6.291282e-002
2.192399999999986e-004	6.542024e-002
2.202399999999985e-004	6.766068e-002
2.212399999999984e-004	6.966257e-002
2.222399999999983e-004	7.145132e-002
2.232399999999983e-004	7.304960e-002
2.242399999999982e-004	7.447771e-002
2.252399999999981e-004	7.575376e-002
2.262399999999980e-004	7.689394e-002
2.272399999999979e-004	7.791273e-002
2.282399999999978e-004	7.882303e-002
2.292399999999977e-004	7.963641e-002
2.302399999999977e-004	8.036318e-002
2.312399999999976e-004	8.101258e-002
2.322399999999975e-004	8.159283e-002
2.332399999999974e-004	8.211130e-002
2.342399999999973e-004	8.257456e-002
2.352399999999972e-004	8.298850e-002
2.362399999999972e-004	8.335836e-002
2.372399999999971e-004	8.368885e-002
2.382399999999970e-004	8.398414e-002
2.392399999999969e-004	8.424799e-002
2.402399999999968e-004	8.448375e-002
2.412399999999967e-004	8.469441e-002
2.422399999999967e-004	8.488263e-002
2.432399999999966e-004	8.505082e-002
2.442399999999965e-004	8.520110e-002
2.452399999999964e-004	8.533537e-002
2.462399999999963e-004	8.545536e-002
2.472399999999962e-004	8.556256e-002
2.482399999999962e-004	8.565835e-002
2.492399999999961e-004	8.574394e-002
2.502399999999960e-004	8.582042e-002
2.512399999999959e-004	8.588876e-002
2.522399999999958e-004	8.594981e-002
2.532399999999957e-004	8.600437e-002
2.542399999999956e-004	8.605312e-002
2.552399999999956e-004	8.609667e-002
2.562399999999955e-004	8.613560e-002
2.572399999999954e-004	8.617038e-002
2.582399999999953e-004	8.620144e-002
2.592399999999952e-004	8.622921e-002
2.602399999999951e-004	8.625402e-002
2.612399999999951e-004	8.627619e-002
2.622399999999950e-004	8.629599e-002
2.632399999999949e-004	8.631369e-002
2.642399999999948e-004	8.632950e-002
2.662399999999946e-004	8.635626e-002
2.682399999999945e-004	8.637762e-002
2.702399999999943e-004	8.639468e-002
2.722399999999941e-004	8.640829e-002
2.752399999999939e-004	8.642375e-002
2.772399999999937e-004	8.643150e-002
2.802399999999935e-004	8.644030e-002
2.842399999999931e-004	8.644824e-002
2.892399999999927e-004	8.645426e-002
2.962399999999921e-004	8.645859e-002
3.010000000000001e-004	8.646010e-002
3.011000000000001e-004	8.620442e-002
3.013000000000000e-004	8.522236e-002
3.016000000000000e-004	8.241032e-002
3.020000000000002e-004	7.702097e-002
3.026000000000001e-004	6.645165e-002
3.032400000000002e-004	5.601997e-002
3.042400000000001e-004	4.099969e-002
3.052400000000000e-004	2.742818e-002
3.062399999999999e-004	1.530170e-002
3.072399999999999e-004	4.466387e-003
3.082399999999998e-004	-5.215236e-003
3.092399999999997e-004	-1.386601e-002
3.102399999999996e-004	-2.159569e-002
3.112399999999995e-004	-2.850235e-002
3.122399999999994e-004	-3.467363e-002
3.132399999999994e-004	-4.018782e-002
3.142399999999993e-004	-4.511488e-002
3.152399999999992e-004	-4.951734e-002
3.162399999999991e-004	-5.345105e-002
3.172399999999990e-004	-5.696591e-002
3.182399999999989e-004	-6.010653e-002
3.192399999999989e-004	-6.291275e-002
3.202399999999988e-004	-6.542018e-002
3.212399999999987e-004	-6.766063e-002
3.222399999999986e-004	-6.966253e-002
3.232399999999985e-004	-7.145128e-002
3.242399999999984e-004	-7.304957e-002
3.252399999999983e-004	-7.447767e-002
3.262399999999983e-004	-7.575373e-002
3.272399999999982e-004	-7.689391e-002
3.282399999999981e-004	-7.791270e-002
3.292399999999980e-004	-7.882301e-002
3.302399999999979e-004	-7.963639e-002
3.312399999999978e-004	-8.036317e-002
3.322399999999978e-004	-8.101256e-002
3.332399999999977e-004	-8.159281e-002
3.342399999999976e-004	-8.211128e-002
3.352399999999975e-004	-8.257455e-002
3.362399999999974e-004	-8.298849e-002
3.372399999999973e-004	-8.335835e-002
3.382399999999973e-004	-8.368883e-002
3.392399999999972e-004	-8.398413e-002
3.402399999999971e-004	-8.424798e-002
3.412399999999970e-004	-8.448374e-002
3.422399999999969e-004	-8.469440e-002
3.432399999999968e-004	-8.488263e-002
3.442399999999967e-004	-8.505081e-002
3.452399999999967e-004	-8.520109e-002
3.462399999999966e-004	-8.533537e-002
3.472399999999965e-004	-8.545535e-002
3.482399999999964e-004	-8.556256e-002
3.492399999999963e-004	-8.565835e-002
3.502399999999962e-004	-8.574393e-002
3.512399999999962e-004	-8.582041e-002
3.522399999999961e-004	-8.588875e-002
3.532399999999960e-004	-8.594981e-002
3.542399999999959e-004	-8.600437e-002
3.552399999999958e-004	-8.605312e-002
3.562399999999957e-004	-8.609667e-002
3.572399999999957e-004	-8.613560e-002
3.582399999999956e-004	-8.617038e-002
3.592399999999955e-004	-8.620144e-002
3.602399999999954e-004	-8.622921e-002
3.612399999999953e-004	-8.625402e-002
3.622399999999952e-004	-8.627619e-002
3.632399999999952e-004	-8.629599e-002
3.642399999999951e-004	-8.631369e-002
3.652399999999950e-004	-8.632950e-002
3.672399999999948e-004	-8.635626e-002
3.692399999999946e-004	-8.637762e-002
3.712399999999945e-004	-8.639468e-002
3.732399999999943e-004	-8.640829e-002
3.762399999999941e-004	-8.642375e-002
3.792399999999938e-004	-8.643477e-002
3.832399999999935e-004	-8.644472e-002
3.882399999999930e-004	-8.645225e-002
3.942399999999925e-004	-8.645714e-002
4.000000000000002e-004	-8.645957e-002
4.001000000000002e-004	-8.620390e-002
4.003000000000001e-004	-8.522184e-002
4.006000000000001e-004	-8.240982e-002
4.009999999999999e-004	-7.702049e-002
4.015999999999996e-004	-6.645120e-002
4.022399999999992e-004	-5.601956e-002
4.032399999999992e-004	-4.099932e-002
4.042399999999991e-004	-2.742785e-002
4.052399999999990e-004	-1.530140e-002
4.062399999999989e-004	-4.466123e-003
4.072399999999988e-004	5.215472e-003
4.082399999999987e-004	1.386622e-002
4.092399999999987e-004	2.159588e-002
4.102399999999986e-004	2.850252e-002
4.112399999999985e-004	3.467378e-002
4.122399999999984e-004	4.018795e-002
4.132399999999983e-004	4.511501e-002
4.142399999999982e-004	4.951745e-002
4.152399999999982e-004	5.345114e-002
4.162399999999981e-004	5.696600e-002
4.172399999999980e-004	6.010661e-002
4.182399999999979e-004	6.291282e-002
4.192399999999978e-004	6.542024e-002
4.202399999999977e-004	6.766068e-002
4.212399999999976e-004	6.966257e-002
4.222399999999976e-004	7.145132e-002
4.232399999999975e-004	7.304960e-002
4.242399999999974e-004	7.447771e-002
4.252399999999973e-004	7.575376e-002
4.262399999999972e-004	7.689394e-002
4.272399999999971e-004	7.791273e-002
4.282399999999971e-004	7.882303e-002
4.292399999999970e-004	7.963641e-002
4.302399999999969e-004	8.036318e-002
4.312399999999968e-004	8.101258e-002
4.322399999999967e-004	8.159283e-002
4.332399999999966e-004	8.211130e-002
4.342399999999966e-004	8.257456e-002
4.352399999999965e-004	8.298850e-002
4.362399999999964e-004	8.335836e-002
4.372399999999963e-004	8.368885e-002
4.382399999999962e-004	8.398414e-002
