Time (s),Channel 1 (V),Channel 2 (V)
-0.001023909240924092,-0.1992013724970819,-0.1932429123270927
-0.001023659240924092,-0.1988579506331633,-0.1932429123270927
-0.001023409240924093,-0.1992013724970817,-0.1932429123270927
-0.001023159240924093,-0.1988579506331633,-0.1932429123270927
-0.001022909240924093,-0.1985145287692445,-0.1932429123270927
-0.001022659240924093,-0.1985145287692445,-0.1929020432269533
-0.001022409240924092,-0.1988579506331631,-0.1932429123270927
-0.001022159240924092,-0.1988579506331631,-0.1932429123270925
-0.001021909240924092,-0.198857950633163,-0.1929020432269536
-0.001021659240924093,-0.1985145287692446,-0.1935837814272317
-0.001021409240924093,-0.1988579506331631,-0.1932429123270927
-0.001021159240924093,-0.1998882162249192,-0.1932429123270927
-0.001020909240924092,-0.1992013724970819,-0.1939246505273714
-0.001020659240924092,-0.1992013724970819,-0.193583781427232
-0.001020409240924092,-0.1992013724970819,-0.1939246505273712
-0.001020159240924093,-0.1992013724970819,-0.1935837814272322
-0.001019909240924093,-0.200575059952756,-0.1932429123270928
-0.001019659240924093,-0.1995447943610005,-0.193583781427232
-0.001019409240924093,-0.1998882162249192,-0.193583781427232
-0.001019159240924092,-0.1995447943610005,-0.1932429123270927
-0.001018909240924092,-0.1985145287692446,-0.1935837814272314
-0.001018659240924092,-0.1988579506331633,-0.1922203050266748
-0.001018409240924093,-0.1992013724970817,-0.1925611741268138
-0.001018159240924093,-0.1988579506331633,-0.1935837814272316
-0.001017909240924093,-0.1992013724970819,-0.192561174126814
-0.001017659240924092,-0.1992013724970819,-0.1932429123270927
-0.001017409240924092,-0.1988579506331631,-0.1929020432269533
-0.001017159240924092,-0.1985145287692443,-0.1932429123270925
-0.001016909240924092,-0.1981711069053259,-0.1929020432269533
-0.001016659240924093,-0.1985145287692443,-0.1929020432269533
-0.001016409240924093,-0.1992013724970819,-0.1929020432269533
-0.001016159240924093,-0.1988579506331631,-0.1932429123270927
-0.001015909240924092,-0.1985145287692445,-0.1929020432269533
-0.001015659240924092,-0.1992013724970817,-0.1929020432269535
-0.001015409240924092,-0.1988579506331631,-0.1932429123270928
-0.001015159240924093,-0.1988579506331631,-0.1935837814272319
-0.001014909240924093,-0.1988579506331631,-0.1929020432269536
-0.001014659240924093,-0.1995447943610005,-0.1939246505273714
-0.001014409240924092,-0.1995447943610005,-0.1929020432269533
-0.001014159240924092,-0.1995447943610005,-0.1932429123270927
-0.001013909240924092,-0.198857950633163,-0.1932429123270927
-0.001013659240924092,-0.1985145287692446,-0.1932429123270925
-0.001013409240924093,-0.198857950633163,-0.1929020432269535
-0.001013159240924093,-0.1974842631774884,-0.192561174126814
-0.001012909240924093,-0.1985145287692445,-0.1922203050266746
-0.001012659240924092,-0.1988579506331631,-0.1929020432269533
-0.001012409240924092,-0.1992013724970819,-0.1929020432269533
-0.001012159240924092,-0.1992013724970819,-0.193583781427232
-0.001011909240924093,-0.1992013724970819,-0.193583781427232
-0.001011659240924093,-0.1995447943610004,-0.1932429123270928
-0.001011409240924093,-0.1992013724970819,-0.193583781427232
-0.001011159240924092,-0.1988579506331631,-0.1932429123270927
-0.001010909240924092,-0.1988579506331631,-0.1929020432269533
-0.001010659240924092,-0.1992013724970817,-0.1932429123270925
-0.001010409240924092,-0.198857950633163,-0.1929020432269528
-0.001010159240924093,-0.1985145287692446,-0.1918794359265358
-0.001009909240924093,-0.1988579506331631,-0.192561174126814
-0.001009659240924093,-0.1985145287692445,-0.192561174126814
-0.001009409240924092,-0.1985145287692445,-0.1922203050266746
-0.001009159240924092,-0.1992013724970819,-0.1929020432269533
-0.001008909240924092,-0.1985145287692449,-0.1932429123270928
-0.001008659240924093,-0.1995447943610001,-0.1935837814272319
-0.001008409240924093,-0.2002316380888376,-0.1932429123270928
-0.001008159240924093,-0.1998882162249192,-0.1932429123270927
-0.001007909240924093,-0.1995447943610005,-0.1932429123270927
-0.001007659240924092,-0.2002316380888379,-0.192561174126814
-0.001007409240924092,-0.1992013724970823,-0.193242912327093
-0.001007159240924092,-0.2002316380888376,-0.1939246505273711
-0.001006909240924093,-0.1995447943610008,-0.193242912327093
-0.001006659240924093,-0.1992013724970819,-0.1932429123270927
-0.001006409240924093,-0.1998882162249192,-0.1932429123270927
-0.001006159240924092,-0.1992013724970819,-0.1939246505273714
-0.001005909240924092,-0.1985145287692445,-0.193583781427232
-0.001005659240924092,-0.1992013724970816,-0.1935837814272317
-0.001005409240924093,-0.1985145287692448,-0.1929020432269536
-0.001005159240924093,-0.198857950633163,-0.1929020432269533
-0.001004909240924093,-0.1992013724970819,-0.1932429123270927
-0.001004659240924093,-0.1992013724970819,-0.193583781427232
-0.001004409240924092,-0.1995447943610005,-0.1932429123270927
-0.001004159240924092,-0.199201372497082,-0.1925611741268142
-0.001003909240924092,-0.1995447943610002,-0.1929020432269531
-0.001003659240924093,-0.1988579506331634,-0.1925611741268142
-0.001003409240924093,-0.1995447943610005,-0.193583781427232
-0.001003159240924093,-0.1995447943610005,-0.1929020432269533
-0.001002909240924092,-0.1988579506331631,-0.1929020432269533
-0.001002659240924092,-0.1988579506331631,-0.1932429123270927
-0.001002409240924092,-0.1985145287692443,-0.1922203050266748
-0.001002159240924093,-0.1981711069053259,-0.1925611741268138
-0.001001909240924093,-0.1988579506331628,-0.1929020432269531
-0.001001659240924093,-0.1992013724970819,-0.192561174126814
-0.001001409240924093,-0.1988579506331631,-0.192561174126814
-0.001001159240924092,-0.1988579506331631,-0.1922203050266746
-0.001000909240924092,-0.1988579506331634,-0.1929020432269533
-0.001000659240924092,-0.1995447943610002,-0.1929020432269533
-0.001000409240924093,-0.1988579506331634,-0.1929020432269533
-0.001000159240924093,-0.1995447943610005,-0.193583781427232
-0.0009999092409240925,0.112625679941092,-0.09439087328668019
-0.0009996592409240925,0.2005416771042776,0.06581760377881593
-0.0009994092409240925,0.2015719426960336,0.1353549002072441
-0.0009991592409240924,0.2036324738795458,0.1670557265202106
-0.0009989092409240926,0.2036324738795458,0.1817130978261894
-0.0009986592409240926,0.2039758957434643,0.1878487416287017
-0.0009984092409240925,0.2039758957434645,0.1909165635299587
-0.0009981592409240925,0.2032890520156271,0.1919391708303767
-0.0009979092409240925,0.2032890520156271,0.1929617781307948
-0.0009976592409240924,0.2029456301517079,0.1933026472309339
-0.0009974092409240924,0.2019153645599527,0.1929617781307954
-0.0009971592409240926,0.2026022082877894,0.1943252545313516
-0.0009969092409240926,0.2015719426960336,0.1936435163310735
-0.0009966592409240925,0.202258786423871,0.1936435163310735
-0.0009964092409240925,0.2015719426960336,0.1936435163310735
-0.0009961592409240925,0.2019153645599523,0.1933026472309341
-0.0009959092409240924,0.2022587864238712,0.1933026472309341
-0.0009956592409240926,0.2026022082877896,0.1933026472309341
-0.0009954092409240926,0.2012285208321156,0.1933026472309341
-0.0009951592409240925,0.201228520832115,0.1933026472309341
-0.0009949092409240925,0.2005416771042776,0.1933026472309341
-0.0009946592409240925,0.201228520832115,0.1926209090306554
-0.0009944092409240924,0.201228520832115,0.1933026472309341
-0.0009941592409240924,0.2012285208321146,0.1933026472309339
-0.0009939092409240926,0.2005416771042779,0.192961778130795
-0.0009936592409240926,0.2008850989681961,0.1926209090306556
-0.0009934092409240925,0.2008850989681962,0.1926209090306554
-0.0009931592409240925,0.2008850989681962,0.1926209090306554
-0.0009929092409240925,0.2008850989681962,0.1929617781307948
-0.0009926592409240924,0.2001982552403586,0.1929617781307946
-0.0009924092409240924,0.1995114115125217,0.1926209090306553
-0.0009921592409240926,0.19985483337644,0.1922800399305162
-0.0009919092409240925,0.1998548333764402,0.1929617781307948
-0.0009916592409240925,0.1998548333764402,0.1919391708303767
-0.0009914092409240925,0.1998548333764402,0.1922800399305161
-0.0009911592409240924,0.2005416771042776,0.1922800399305161
-0.0009909092409240924,0.1998548333764405,0.1919391708303767
-0.0009906592409240926,0.2005416771042773,0.1919391708303767
-0.0009904092409240926,0.2001982552403591,0.1919391708303767
-0.0009901592409240925,0.1995114115125215,0.1922800399305161
-0.0009899092409240925,0.1998548333764402,0.1922800399305161
-0.0009896592409240925,0.2001982552403589,0.1922800399305161
-0.0009894092409240924,0.2001982552403591,0.1922800399305164
-0.0009891592409240924,0.2005416771042774,0.1929617781307946
-0.0009889092409240926,0.2001982552403591,0.1926209090306556
-0.0009886592409240925,0.2005416771042776,0.1929617781307948
-0.0009884092409240925,0.2001982552403589,0.1933026472309341
-0.0009881592409240925,0.1998548333764402,0.1929617781307948
-0.0009879092409240924,0.1998548333764402,0.1929617781307948
-0.0009876592409240924,0.1981377240568473,0.1926209090306554
-0.0009874092409240926,0.1995114115125209,0.1926209090306554
-0.0009871592409240926,0.1995114115125215,0.1926209090306554
-0.0009869092409240925,0.1995114115125215,0.1926209090306554
-0.0009866592409240925,0.1991679896486028,0.1922800399305161
-0.0009864092409240925,0.1991679896486028,0.1919391708303767
-0.0009861592409240924,0.1995114115125217,0.1919391708303769
-0.0009859092409240924,0.19985483337644,0.1922800399305162
-0.0009856592409240926,0.1995114115125217,0.1926209090306553
-0.0009854092409240925,0.1998548333764402,0.1926209090306554
-0.0009851592409240925,0.1998548333764402,0.1926209090306554
-0.0009849092409240925,0.1998548333764402,0.1929617781307948
-0.0009846592409240924,0.1991679896486028,0.1926209090306554
-0.0009844092409240924,0.1991679896486031,0.1926209090306554
-0.0009841592409240926,0.1998548333764399,0.1926209090306554
-0.0009839092409240926,0.1995114115125217,0.1929617781307946
-0.0009836592409240925,0.1991679896486028,0.1922800399305161
-0.0009834092409240925,0.1995114115125215,0.1922800399305161
-0.0009831592409240925,0.1998548333764402,0.1919391708303767
-0.0009829092409240924,0.1991679896486032,0.1919391708303769
-0.0009826592409240924,0.2001982552403584,0.1922800399305161
-0.0009824092409240926,0.1991679896486032,0.1922800399305161
-0.0009821592409240926,0.1988245677846841,0.1919391708303767
-0.0009819092409240925,0.1991679896486028,0.1919391708303767
-0.0009816592409240925,0.1988245677846841,0.1919391708303767
-0.0009814092409240925,0.1988245677846841,0.1922800399305161
-0.0009811592409240924,0.1988245677846843,0.1922800399305158
-0.0009809092409240926,0.1991679896486026,0.1915983017302376
-0.0009806592409240926,0.1988245677846843,0.1915983017302373
-0.0009804092409240925,0.1988245677846841,0.1919391708303767
-0.0009801592409240925,0.1991679896486028,0.1922800399305161
-0.0009799092409240925,0.1995114115125215,0.1922800399305161
-0.0009796592409240924,0.1998548333764399,0.1922800399305159
-0.0009794092409240924,0.1991679896486028,0.1919391708303769
-0.0009791592409240926,0.1991679896486028,0.1922800399305159
-0.0009789092409240926,0.1998548333764402,0.1922800399305161
-0.0009786592409240925,0.1995114115125215,0.1926209090306554
-0.0009784092409240925,0.1995114115125215,0.1926209090306554
-0.0009781592409240925,0.1988245677846841,0.1915983017302373
-0.0009779092409240924,0.1991679896486028,0.1919391708303769
-0.0009776592409240926,0.1991679896486028,0.1922800399305159
-0.0009774092409240926,0.1988245677846843,0.1919391708303769
-0.0009771592409240925,0.1991679896486028,0.1922800399305161
-0.0009769092409240925,0.1984811459207654,0.191257432630098
-0.0009766592409240925,0.1991679896486028,0.1919391708303767
-0.0009764092409240924,0.1995114115125215,0.1919391708303767
-0.0009761592409240924,0.1991679896486028,0.1919391708303767
-0.0009759092409240924,0.1995114115125215,0.1922800399305161
-0.0009756592409240923,0.1995114115125215,0.1915983017302373
-0.0009754092409240924,0.1991679896486028,0.1919391708303767
-0.0009751592409240924,0.1988245677846841,0.1915983017302373
-0.0009749092409240923,0.1998548333764402,0.1915983017302373
-0.0009746592409240924,0.1995114115125215,0.1926209090306554
-0.0009744092409240924,0.1995114115125215,0.1915983017302373
-0.0009741592409240924,0.1988245677846841,0.1915983017302373
-0.0009739092409240924,0.1988245677846841,0.1915983017302373
-0.0009736592409240924,0.1998548333764402,0.1919391708303767
-0.0009734092409240924,0.1998548333764402,0.1929617781307948
-0.0009731592409240924,0.1995114115125215,0.1915983017302373
-0.0009729092409240924,0.1991679896486028,0.1922800399305161
-0.0009726592409240924,0.1988245677846841,0.1915983017302373
-0.0009724092409240923,0.2001982552403589,0.1919391708303767
-0.0009721592409240924,0.1998548333764402,0.1922800399305161
-0.0009719092409240924,0.1998548333764402,0.1919391708303767
-0.0009716592409240924,0.1998548333764402,0.1919391708303767
-0.0009714092409240924,0.1998548333764402,0.1919391708303767
-0.0009711592409240924,0.1995114115125215,0.1919391708303767
-0.0009709092409240924,0.1995114115125215,0.1926209090306554
-0.0009706592409240924,0.1988245677846841,0.1919391708303767
-0.0009704092409240924,0.1988245677846841,0.191257432630098
-0.0009701592409240924,0.1991679896486028,0.191257432630098
-0.0009699092409240924,0.1984811459207654,0.191257432630098
-0.0009696592409240924,0.1991679896486028,0.1915983017302373
-0.0009694092409240924,0.1995114115125215,0.191257432630098
-0.0009691592409240923,0.1991679896486028,0.1909165635299587
-0.0009689092409240924,0.1998548333764402,0.1915983017302373
-0.0009686592409240924,0.1991679896486028,0.191257432630098
-0.0009684092409240924,0.1995114115125215,0.191257432630098
-0.0009681592409240924,0.1991679896486028,0.1919391708303767
-0.0009679092409240924,0.1991679896486028,0.1915983017302373
-0.0009676592409240924,0.2001982552403589,0.1919391708303767
-0.0009674092409240924,0.1991679896486028,0.1919391708303767
-0.0009671592409240924,0.1998548333764402,0.1915983017302373
-0.0009669092409240924,0.1991679896486028,0.1919391708303767
-0.0009666592409240924,0.1998548333764402,0.1919391708303767
-0.0009664092409240924,0.1988245677846841,0.1915983017302373
-0.0009661592409240924,0.1988245677846841,0.1915983017302373
-0.0009659092409240923,0.1998548333764402,0.1919391708303767
-0.0009656592409240924,0.1995114115125215,0.1915983017302373
-0.0009654092409240924,0.1998548333764402,0.1926209090306554
-0.0009651592409240924,0.1981377240568467,0.1915983017302373
-0.0009649092409240924,0.1988245677846841,0.1915983017302373
-0.0009646592409240924,0.1995114115125215,0.1922800399305161
-0.0009644092409240924,0.1991679896486028,0.1922800399305161
-0.0009641592409240924,0.1991679896486028,0.1922800399305161
-0.0009639092409240924,0.1988245677846841,0.1922800399305161
-0.0009636592409240924,0.1984811459207654,0.1926209090306554
-0.0009634092409240923,0.1981377240568467,0.1922800399305161
-0.0009631592409240924,0.1981377240568467,0.1915983017302373
-0.0009629092409240924,0.1984811459207654,0.1915983017302373
-0.0009626592409240923,0.1981377240568467,0.191257432630098
-0.0009624092409240924,0.1984811459207654,0.1909165635299587
-0.0009621592409240924,0.1981377240568467,0.191257432630098
-0.0009619092409240924,0.1988245677846841,0.191257432630098
-0.0009616592409240924,0.1984811459207654,0.191257432630098
-0.0009614092409240924,0.1988245677846841,0.191257432630098
-0.0009611592409240924,0.1998548333764402,0.1919391708303767
-0.0009609092409240924,0.1991679896486028,0.1922800399305161
-0.0009606592409240924,0.1991679896486028,0.1926209090306554
-0.0009604092409240924,0.1991679896486028,0.1922800399305161
-0.0009601592409240923,0.1984811459207654,0.1922800399305161
-0.0009599092409240924,0.1988245677846841,0.1919391708303767
-0.0009596592409240924,0.1981377240568467,0.1915983017302373
-0.0009594092409240924,0.1984811459207654,0.1922800399305161
-0.0009591592409240924,0.1981377240568467,0.1919391708303767
-0.0009589092409240924,0.1981377240568467,0.191257432630098
-0.0009586592409240924,0.1984811459207654,0.191257432630098
-0.0009584092409240924,0.1981377240568467,0.1915983017302373
-0.0009581592409240924,0.1984811459207654,0.1915983017302373
-0.0009579092409240924,0.1991679896486028,0.1915983017302373
-0.0009576592409240924,0.1988245677846841,0.1929617781307948
-0.0009574092409240924,0.1988245677846841,0.191257432630098
